1 [[0, 1, 2], [3, 4, 5], [6, 7, 8]] 
2 [[1, 0, 2], [3, 4, 5], [6, 7, 8]] 
3 [[1, 4, 2], [3, 0, 5], [6, 7, 8]] 
4 [[1, 4, 2], [3, 5, 0], [6, 7, 8]] 
5 [[1, 4, 2], [3, 5, 8], [6, 7, 0]] 
6 [[1, 4, 2], [3, 5, 8], [6, 0, 7]] 
7 [[1, 4, 2], [3, 5, 8], [0, 6, 7]] 
8 [[1, 4, 2], [0, 5, 8], [3, 6, 7]] 
9 [[1, 4, 2], [5, 0, 8], [3, 6, 7]] 
10 [[1, 4, 2], [5, 8, 0], [3, 6, 7]] 
11 [[1, 4, 2], [5, 8, 7], [3, 6, 0]] 
12 [[1, 4, 2], [5, 8, 7], [3, 0, 6]] 
13 [[1, 4, 2], [5, 8, 7], [0, 3, 6]] 
14 [[1, 4, 2], [0, 8, 7], [5, 3, 6]] 
15 [[0, 4, 2], [1, 8, 7], [5, 3, 6]] 
16 [[4, 0, 2], [1, 8, 7], [5, 3, 6]] 
17 [[4, 8, 2], [1, 0, 7], [5, 3, 6]] 
18 [[4, 8, 2], [1, 3, 7], [5, 0, 6]] 
19 [[4, 8, 2], [1, 3, 7], [0, 5, 6]] 
20 [[4, 8, 2], [0, 3, 7], [1, 5, 6]] 
21 [[0, 8, 2], [4, 3, 7], [1, 5, 6]] 
22 [[8, 0, 2], [4, 3, 7], [1, 5, 6]] 
23 [[8, 2, 0], [4, 3, 7], [1, 5, 6]] 
24 [[8, 2, 7], [4, 3, 0], [1, 5, 6]] 
25 [[8, 2, 7], [4, 0, 3], [1, 5, 6]] 
