1 [[1, 4, 8], [7, 2, 5], [3, 0, 6]] 
2 [[1, 4, 8], [7, 0, 5], [3, 2, 6]] 
3 [[1, 4, 8], [7, 5, 0], [3, 2, 6]] 
4 [[1, 4, 0], [7, 5, 8], [3, 2, 6]] 
5 [[1, 0, 4], [7, 5, 8], [3, 2, 6]] 
6 [[1, 5, 4], [7, 0, 8], [3, 2, 6]] 
7 [[1, 5, 4], [7, 2, 8], [3, 0, 6]] 
8 [[1, 5, 4], [7, 2, 8], [3, 6, 0]] 
9 [[1, 5, 4], [7, 2, 0], [3, 6, 8]] 
10 [[1, 5, 0], [7, 2, 4], [3, 6, 8]] 
11 [[1, 0, 5], [7, 2, 4], [3, 6, 8]] 
12 [[1, 2, 5], [7, 0, 4], [3, 6, 8]] 
13 [[1, 2, 5], [0, 7, 4], [3, 6, 8]] 
14 [[1, 2, 5], [3, 7, 4], [0, 6, 8]] 
15 [[1, 2, 5], [3, 7, 4], [6, 0, 8]] 
16 [[1, 2, 5], [3, 0, 4], [6, 7, 8]] 
17 [[1, 2, 5], [3, 4, 0], [6, 7, 8]] 
18 [[1, 2, 0], [3, 4, 5], [6, 7, 8]] 
19 [[1, 0, 2], [3, 4, 5], [6, 7, 8]] 
20 [[0, 1, 2], [3, 4, 5], [6, 7, 8]] 
