1 [[8, 0, 2], [4, 3, 7], [1, 5, 6]] 
2 [[8, 2, 0], [4, 3, 7], [1, 5, 6]] 
3 [[8, 2, 7], [4, 3, 0], [1, 5, 6]] 
4 [[8, 2, 7], [4, 0, 3], [1, 5, 6]] 
5 [[8, 2, 7], [0, 4, 3], [1, 5, 6]] 
6 [[0, 2, 7], [8, 4, 3], [1, 5, 6]] 
7 [[2, 0, 7], [8, 4, 3], [1, 5, 6]] 
8 [[2, 7, 0], [8, 4, 3], [1, 5, 6]] 
9 [[2, 7, 3], [8, 4, 0], [1, 5, 6]] 
10 [[2, 7, 3], [8, 0, 4], [1, 5, 6]] 
11 [[2, 7, 3], [0, 8, 4], [1, 5, 6]] 
12 [[0, 7, 3], [2, 8, 4], [1, 5, 6]] 
13 [[7, 0, 3], [2, 8, 4], [1, 5, 6]] 
14 [[7, 3, 0], [2, 8, 4], [1, 5, 6]] 
15 [[7, 3, 4], [2, 8, 0], [1, 5, 6]] 
16 [[7, 3, 4], [2, 0, 8], [1, 5, 6]] 
17 [[7, 3, 4], [0, 2, 8], [1, 5, 6]] 
18 [[0, 3, 4], [7, 2, 8], [1, 5, 6]] 
19 [[3, 0, 4], [7, 2, 8], [1, 5, 6]] 
20 [[3, 4, 0], [7, 2, 8], [1, 5, 6]] 
21 [[3, 4, 8], [7, 2, 0], [1, 5, 6]] 
22 [[3, 4, 8], [7, 0, 2], [1, 5, 6]] 
23 [[3, 4, 8], [0, 7, 2], [1, 5, 6]] 
24 [[0, 4, 8], [3, 7, 2], [1, 5, 6]] 
25 [[4, 0, 8], [3, 7, 2], [1, 5, 6]] 
26 [[4, 8, 0], [3, 7, 2], [1, 5, 6]] 
27 [[4, 8, 2], [3, 7, 0], [1, 5, 6]] 
28 [[4, 8, 2], [3, 0, 7], [1, 5, 6]] 
29 [[4, 8, 2], [0, 3, 7], [1, 5, 6]] 
30 [[4, 8, 2], [1, 3, 7], [0, 5, 6]] 
31 [[4, 8, 2], [1, 3, 7], [5, 0, 6]] 
32 [[4, 8, 2], [1, 3, 7], [5, 6, 0]] 
