1 [[2, 6, 8], [0, 4, 7], [5, 3, 1]] 
2 [[2, 6, 8], [4, 0, 7], [5, 3, 1]] 
3 [[2, 0, 8], [4, 6, 7], [5, 3, 1]] 
4 [[0, 2, 8], [4, 6, 7], [5, 3, 1]] 
5 [[4, 2, 8], [0, 6, 7], [5, 3, 1]] 
6 [[4, 2, 8], [6, 0, 7], [5, 3, 1]] 
7 [[4, 2, 8], [6, 3, 7], [5, 0, 1]] 
8 [[4, 2, 8], [6, 3, 7], [5, 1, 0]] 
9 [[4, 2, 8], [6, 3, 0], [5, 1, 7]] 
10 [[4, 2, 0], [6, 3, 8], [5, 1, 7]] 
11 [[4, 0, 2], [6, 3, 8], [5, 1, 7]] 
12 [[4, 3, 2], [6, 0, 8], [5, 1, 7]] 
13 [[4, 3, 2], [6, 1, 8], [5, 0, 7]] 
14 [[4, 3, 2], [6, 1, 8], [0, 5, 7]] 
15 [[4, 3, 2], [0, 1, 8], [6, 5, 7]] 
16 [[0, 3, 2], [4, 1, 8], [6, 5, 7]] 
17 [[3, 0, 2], [4, 1, 8], [6, 5, 7]] 
18 [[3, 1, 2], [4, 0, 8], [6, 5, 7]] 
19 [[3, 1, 2], [4, 5, 8], [6, 0, 7]] 
20 [[3, 1, 2], [4, 5, 8], [6, 7, 0]] 
21 [[3, 1, 2], [4, 5, 0], [6, 7, 8]] 
22 [[3, 1, 2], [4, 0, 5], [6, 7, 8]] 
23 [[3, 1, 2], [0, 4, 5], [6, 7, 8]] 
24 [[0, 1, 2], [3, 4, 5], [6, 7, 8]] 
